epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,299.385,1.67804,2.25526,1.74068,0.88171,0.26046,0.49116,0.22218,1.80892,2.58473,2.04338,0.000410798,0.000410798,0.000410798
2,604.789,1.64036,1.63227,1.69703,0.79289,0.48032,0.54575,0.24387,1.90388,1.88551,2.1116,0.000811081,0.000811081,0.000811081
3,921.419,1.66924,1.58857,1.71172,0.7932,0.48117,0.5417,0.26266,1.83517,1.80715,2.03929,0.00119486,0.00119486,0.00119486
4,1292.66,1.66878,1.53571,1.70793,0.60316,0.56057,0.55736,0.25709,1.89468,1.82399,2.11008,0.00117575,0.00117575,0.00117575
5,1658.44,1.60875,1.46635,1.66514,0.82616,0.48854,0.57441,0.2915,1.78554,1.62355,1.96773,0.001151,0.001151,0.001151
6,2020.48,1.60022,1.40528,1.66911,0.5483,0.59489,0.59767,0.28732,1.87198,1.50253,2.04558,0.00112625,0.00112625,0.00112625
7,2389.75,1.61632,1.38231,1.65921,0.77923,0.52036,0.57568,0.26868,1.85584,1.6089,1.98224,0.0011015,0.0011015,0.0011015
8,2763.81,1.58189,1.32526,1.64987,0.58687,0.60292,0.61124,0.28348,1.79165,1.4043,1.93458,0.00107675,0.00107675,0.00107675
9,3117.01,1.57424,1.26899,1.61734,0.56443,0.61732,0.61287,0.30709,1.75531,1.37846,1.92661,0.001052,0.001052,0.001052
10,3470.6,1.54362,1.233,1.59976,0.60725,0.66335,0.67745,0.32916,1.76398,1.26791,1.90963,0.00102725,0.00102725,0.00102725
11,3828.46,1.54605,1.22284,1.6053,0.8781,0.5485,0.65204,0.32584,1.73418,1.25326,1.88092,0.0010025,0.0010025,0.0010025
12,4182.25,1.53781,1.21093,1.59508,0.84268,0.52216,0.63866,0.32704,1.77339,1.28363,1.89488,0.00097775,0.00097775,0.00097775
13,4543.89,1.51134,1.16473,1.58292,0.85806,0.56249,0.66912,0.33268,1.7482,1.22315,1.90812,0.000953,0.000953,0.000953
14,4861.02,1.50443,1.10472,1.56286,0.8394,0.5799,0.66277,0.34706,1.71494,1.16751,1.88681,0.00092825,0.00092825,0.00092825
15,5188.87,1.46865,1.11406,1.55696,0.82083,0.5796,0.67606,0.34714,1.71437,1.1708,1.84179,0.0009035,0.0009035,0.0009035
16,5505.78,1.48912,1.10889,1.54877,0.86411,0.56779,0.68119,0.34047,1.72347,1.1543,1.87977,0.00087875,0.00087875,0.00087875
17,5822.91,1.4637,1.09085,1.54684,0.86655,0.54616,0.67346,0.32749,1.73934,1.22402,1.89162,0.000854,0.000854,0.000854
18,6141.32,1.4571,1.06475,1.53893,0.67377,0.69645,0.70399,0.36165,1.69795,1.07762,1.82896,0.00082925,0.00082925,0.00082925
19,6457.59,1.43321,1.0287,1.51826,0.88018,0.58236,0.69975,0.35917,1.66659,1.08634,1.81343,0.0008045,0.0008045,0.0008045
20,6773.95,1.42028,1.01501,1.5076,0.69903,0.69737,0.69925,0.35185,1.7077,1.10182,1.87508,0.00077975,0.00077975,0.00077975
21,7091.37,1.43058,1.01615,1.50981,0.62704,0.71104,0.71697,0.36325,1.68143,1.03599,1.83108,0.000755,0.000755,0.000755
22,7408.75,1.42192,1.001,1.51021,0.63808,0.71283,0.70786,0.36859,1.67605,1.0523,1.8154,0.00073025,0.00073025,0.00073025
23,7726.3,1.40573,0.98648,1.49741,0.72294,0.63289,0.67946,0.36065,1.66838,1.08103,1.82403,0.0007055,0.0007055,0.0007055
24,8042.31,1.39978,0.98087,1.48734,0.61884,0.71445,0.73127,0.35718,1.68986,1.04305,1.85415,0.00068075,0.00068075,0.00068075
25,8360.25,1.3952,0.96497,1.48621,0.66221,0.67548,0.68627,0.36253,1.66186,0.987,1.82732,0.000656,0.000656,0.000656
26,8676.14,1.39629,0.95763,1.47539,0.63323,0.68624,0.70176,0.35709,1.69429,1.04362,1.83877,0.00063125,0.00063125,0.00063125
27,8991.05,1.38991,0.9573,1.50013,0.72163,0.71671,0.73651,0.38023,1.65326,1.01301,1.79894,0.0006065,0.0006065,0.0006065
28,9306.06,1.35707,0.94003,1.47417,0.63872,0.71194,0.72418,0.37503,1.64436,0.99266,1.81858,0.00058175,0.00058175,0.00058175
29,9620.36,1.3695,0.92711,1.45941,0.6423,0.70882,0.71603,0.37319,1.61469,0.9647,1.78175,0.000557,0.000557,0.000557
30,9921.25,1.35323,0.91764,1.46569,0.74101,0.73103,0.74655,0.3865,1.66072,0.97768,1.82994,0.00053225,0.00053225,0.00053225
31,10221.1,1.34016,0.90612,1.44105,0.72288,0.7074,0.73471,0.38944,1.58833,0.9664,1.75556,0.0005075,0.0005075,0.0005075
32,10527.7,1.3321,0.87761,1.43581,0.7403,0.7402,0.74789,0.38996,1.622,0.95052,1.79545,0.00048275,0.00048275,0.00048275
33,10891.1,1.32408,0.87097,1.43152,0.7505,0.7427,0.74708,0.38313,1.65215,0.97017,1.82814,0.000458,0.000458,0.000458
34,11260.8,1.31578,0.87655,1.42939,0.69975,0.73499,0.74492,0.39987,1.6003,0.92518,1.76479,0.00043325,0.00043325,0.00043325
35,11637.2,1.28241,0.83491,1.41705,0.74526,0.73492,0.76278,0.39412,1.64652,0.93981,1.80042,0.0004085,0.0004085,0.0004085
36,12011.9,1.29695,0.85156,1.41399,0.67418,0.73497,0.73564,0.38759,1.6259,0.93254,1.78786,0.00038375,0.00038375,0.00038375
37,12378.8,1.28037,0.83305,1.40232,0.73541,0.71404,0.76169,0.40568,1.59713,0.91487,1.76792,0.000359,0.000359,0.000359
38,12777.6,1.27784,0.83076,1.39376,0.70442,0.70982,0.74523,0.39941,1.62266,0.90866,1.7775,0.00033425,0.00033425,0.00033425
39,13173.6,1.27568,0.8285,1.38426,0.67273,0.72293,0.73915,0.39624,1.60355,0.90438,1.77096,0.0003095,0.0003095,0.0003095
40,13568.6,1.24081,0.80016,1.39254,0.77437,0.72929,0.75742,0.4071,1.59774,0.91508,1.7621,0.00028475,0.00028475,0.00028475
41,13957.4,1.22587,0.71995,1.43645,0.75672,0.72362,0.7459,0.39622,1.61023,0.92919,1.79255,0.00026,0.00026,0.00026
42,14346.1,1.21231,0.69099,1.42585,0.73767,0.71529,0.74129,0.39376,1.59495,0.90095,1.76464,0.00023525,0.00023525,0.00023525
43,14715.1,1.19946,0.69112,1.41649,0.74049,0.73848,0.77326,0.41406,1.57788,0.8909,1.75851,0.0002105,0.0002105,0.0002105
44,15075.4,1.19841,0.68268,1.42444,0.76254,0.7284,0.75027,0.40265,1.62585,0.89669,1.80927,0.00018575,0.00018575,0.00018575
45,15459.1,1.17807,0.67046,1.38645,0.77905,0.73295,0.76082,0.40788,1.59845,0.89755,1.78347,0.000161,0.000161,0.000161
46,15838.3,1.16301,0.64572,1.3886,0.73288,0.7085,0.75579,0.41577,1.58187,0.88582,1.77893,0.00013625,0.00013625,0.00013625
47,16213.2,1.13804,0.63986,1.37803,0.74726,0.71862,0.75478,0.41166,1.57874,0.87765,1.77838,0.0001115,0.0001115,0.0001115
48,16520.4,1.13832,0.63744,1.37093,0.71799,0.73577,0.74481,0.40893,1.58411,0.87018,1.78567,8.675e-05,8.675e-05,8.675e-05
49,16820.7,1.12887,0.63017,1.36677,0.7376,0.74883,0.74977,0.40966,1.5839,0.87977,1.78806,6.2e-05,6.2e-05,6.2e-05
50,17117.1,1.12692,0.6259,1.36406,0.74159,0.74871,0.75446,0.40982,1.58629,0.87339,1.79307,3.725e-05,3.725e-05,3.725e-05
